"name","label","type","fieldType","options"
"ai_call_type_confidence","AI Call Type Confidence","number","number",""
"ai_client_engagement_level","AI Client Engagement Level","number","number",""
"ai_complaint_detected","AI Complaint Detected","enumeration","select","Yes=Yes; No=No; Unclear=Unclear"
"ai_consultation_likelihood_to_close","Ai Consultation Likelihood To Close","number","number",""
"ai_consultation_outcome","AI Consultation Outcome","enumeration","select","Proceed now=Proceed now; Likely=Likely; Unclear=Unclear; Not now=Not now; No fit=No fit"
"ai_consultation_required_materials","AI Consultation Required Materials","string","textarea",""
"ai_customer_sentiment","AI Customer Sentiment","enumeration","select","Positive=Positive; Neutral=Neutral; Negative=Negative"
"ai_data_points_captured","AI Data Points Captured","string","textarea",""
"ai_decision_criteria","AI Decision Criteria","string","text",""
"ai_escalation_notes","AI Escalation Notes","string","textarea",""
"ai_escalation_required","AI Escalation Required","enumeration","select","Yes=Yes; No=No; Monitor=Monitor"
"ai_follow_up_close_likelihood","AI Follow-Up Close Likelihood","number","number",""
"ai_follow_up_objections_remaining","AI Follow-Up Objections Remaining","string","text",""
"ai_follow_up_required_materials","AI Follow-Up Required Materials","string","text",""
"ai_improvement_areas","AI Improvement Areas","string","textarea",""
"ai_inferred_call_type","AI Inferred Call Type","enumeration","select","Qualification call=Qualification call; Initial Consultation=Initial Consultation; Follow up call=Follow up call; Application meeting=Application meeting; Strategy call=Strategy call; Annual Review=Annual Review; Existing customer call=Existing customer call; Other=Other"
"ai_key_achievements","AI Key Achievements","string","textarea",""
"ai_key_objections","AI Key Objections (Concise)","string","text",""
"ai_missing_information","AI Missing Information","string","textarea",""
"ai_next_steps","AI Next Steps","string","text",""
"ai_objection_categories","AI Objection Categories","enumeration","checkbox","Price=Price; Timing=Timing; Risk=Risk; Complexity=Complexity; Authority=Authority; Clarity=Clarity"
"ai_objection_severity","AI Objection Severity","enumeration","select","Low=Low; Medium=Medium; High=High"
"ai_objections_bullets","AI Objections (Bullets)","string","textarea",""
"ai_primary_objection","AI Primary Objection","string","text",""
"ai_product_interest","AI Product Interest","enumeration","select","FIC=FIC; SSAS=SSAS; Both=Both"
"ai_recommendations_provided","AI Recommendations Provided","string","textarea",""
"ai_satisfaction_level","AI Satisfaction Level","number","number",""
"ai_strategy_focus_areas","AI Strategy Focus Areas","string","textarea",""
"ai_transcript","Ai Transcript","string","textarea",""
"call_owner___historic","Call Owner - Historic","string","text",""
"call_transcript_text","Call Transcript Text","string","textarea",""
"chat_gpt___increase_likelihood_of_sale_suggestions","Chat GPT - Increase likelihood of sale suggestions","string","textarea",""
"chat_gpt___likeliness_to_proceed_score","Chat GPT - Likeliness to proceed score","number","number",""
"chat_gpt___sales_performance","Chat GPT - Sales Performance Score","number","number",""
"chat_gpt___score_reasoning","Chat GPT - Score reasoning","string","textarea",""
"did_the_consultant_ask_at_least_one_open_ended_question_to_understand_the_clients_needs_","Did the consultant ask at least one open-ended question to understand the clients needs?","string","text",""
"did_the_consultant_establish_rapport_or_attempt_to_build_trust_early_in_the_call_","Did the consultant establish rapport or attempt to build trust early in the call?","string","text",""
"did_the_consultant_introduce_themselves_clearly_and_professionally_","Did the consultant introduce themselves clearly and professionally?","string","text",""
"hs_activity_type","Call and meeting type","enumeration","select","Qualification Call=Qualification Call; Initial Consultation=Initial Consultation; Follow Up=Follow Up; Application Completion=Application Completion; Strategy Call=Strategy Call; Annual Review=Annual Review; Existing Customer Call=Existing Customer Call"
"hs_all_accessible_team_ids","All teams","enumeration","select",""
"hs_all_assigned_business_unit_ids","Business units","enumeration","checkbox",""
"hs_all_owner_ids","All owner IDs","enumeration","select",""
"hs_all_team_ids","All team IDs","enumeration","select",""
"hs_at_mentioned_owner_ids","At-Mentioned Owner Ids","enumeration","checkbox",""
"hs_attachment_ids","Attached file IDs","enumeration","checkbox",""
"hs_body_preview_is_truncated","Body Preview Truncated","bool","booleancheckbox","True=true; False=false"
"hs_call_app_id","Integrating App ID","number","number",""
"hs_call_authed_url_provider","Authenticated recording files url provider","string","text",""
"hs_call_callee_object_id","Callee object id","number","number",""
"hs_call_callee_object_type","Callee object type","enumeration","select","Company=COMPANY; Contact=CONTACT"
"hs_call_deal_stage_during_call","Deal Stage During Call","enumeration","radio",""
"hs_call_direction","Call direction","enumeration","select","Inbound=INBOUND; Outbound=OUTBOUND"
"hs_call_disposition","Call outcome","enumeration","select",""
"hs_call_duration","Call duration","number","number",""
"hs_call_external_account_id","External Account ID","string","text",""
"hs_call_external_id","External ID","string","text",""
"hs_call_from_number","From number","string","text",""
"hs_call_from_number_nickname","From Number Name","string","text",""
"hs_call_has_transcript","Transcript Available","bool","booleancheckbox","True=true; False=false"
"hs_call_has_voicemail","Voicemail Available","enumeration","booleancheckbox","Yes=true; No=false"
"hs_call_location","Call location","enumeration","select","Crm=CRM; Inbox=INBOX; Help Desk=HELP_DESK; Mobile App=MOBILE_APP"
"hs_call_meeting_event_id","Call Meeting Event ID","object_coordinates","text",""
"hs_call_meeting_id","Meeting ID","string","text",""
"hs_call_ms_teams_payload","MsTeams payload","string","text",""
"hs_call_phone_number_source","Call phone number source","enumeration","select","Hubspot purchased=HUBSPOT_PURCHASED; External=EXTERNAL; Forwarding=FORWARDING; Integration=INTEGRATIONS_PLATFORM"
"hs_call_primary_deal","Primary Deal","object_coordinates","text",""
"hs_call_recording_duration","Recording duration","number","number",""
"hs_call_recording_url","Recording URL","string","text",""
"hs_call_routing_strategy_type","Call routing strategy type","enumeration","select","Workspace=WORKSPACE_ROUTING; Workflow=WORKFLOW_ROUTING; Client forwarding=FORWARD_TO_CLIENT; Number forwarding=FORWARD_TO_INDIVIDUAL; Forward to voicemail=FORWARD_TO_VOICEMAIL; No routing=NO_ROUTING"
"hs_call_source","Call Source","enumeration","select","VoIP=VOIP; Zoom=ZOOM; Integrations Platform=INTEGRATIONS_PLATFORM; HubSpot Meetings=HUBSPOT_MEETINGS; In Person Meetings=IN_PERSON_MEETINGS"
"hs_call_status","Call status","enumeration","select","Busy=BUSY; Calling CRM User=CALLING_CRM_USER; Canceled=CANCELED; Completed=COMPLETED; Connecting=CONNECTING; Failed=FAILED; In Progress=IN_PROGRESS; Missed=MISSED; No Answer=NO_ANSWER; Queued=QUEUED; Ringing=RINGING; On Hold=HOLD"
"hs_call_suggested_next_actions","Call suggested next actions","string","text",""
"hs_call_summary","Call summary","string","textarea",""
"hs_call_summary_execution_id","Call Summary Execution Id","string","text",""
"hs_call_title","Call Title","string","text",""
"hs_call_to_number","To Number","string","text",""
"hs_call_to_number_nickname","To Number Name","string","text",""
"hs_call_transcript_audio_num_channels","Call Transcript Audio Channel Count","number","number",""
"hs_call_transcript_tracked_terms","Tracked terms","enumeration","checkbox",""
"hs_call_transcription_id","Call transcription id","number","number",""
"hs_call_unified_phone_number_id","Call unified phone number id","number","number",""
"hs_call_unique_external_id","Unique external id","string","text",""
"hs_call_video_meeting_type","Call video meeting type","string","text",""
"hs_call_video_recording_url","Video url","string","text",""
"hs_call_zoom_meeting_uuid","Unique Zoom Meeting ID","string","text",""
"hs_calls_service_call_id","Calls Service Call ID","number","number",""
"hs_campaign_guid","Campaign guid","string","text",""
"hs_connected_count","Connected count","number","number",""
"hs_created_by","Activity created by","number","number",""
"hs_created_by_user_id","Created by user ID","number","number",""
"hs_createdate","Create date","datetime","date",""
"hs_engagement_source","Engagement Source","string","text",""
"hs_engagement_source_id","Engagement Source ID","string","text",""
"hs_engagements_last_contacted","Engagements Last Contacted","datetime","calculation_equation",""
"hs_follow_up_action","Follow up action","string","text",""
"hs_gdpr_deleted","GDPR deleted","bool","booleancheckbox","True=true; False=false"
"hs_hosted_video_conference_url","Hosted video conference url","string","text",""
"hs_is_voice_agent_call","Is Voice Agent Call","bool","booleancheckbox","Yes=true; No=false"
"hs_lastmodifieddate","Last modified date","datetime","date",""
"hs_merged_object_ids","Merged record IDs","enumeration","checkbox",""
"hs_modified_by","Updated by","number","number",""
"hs_obj_coords","Object Coordinates","object_coordinates","text",""
"hs_object_id","Record ID","number","number",""
"hs_object_source","Record creation source","string","text",""
"hs_object_source_detail_1","Record source detail 1","string","text",""
"hs_object_source_detail_2","Record source detail 2","string","text",""
"hs_object_source_detail_3","Record source detail 3","string","text",""
"hs_object_source_id","Record creation source ID","string","text",""
"hs_object_source_label","Record source","enumeration","select",""
"hs_object_source_user_id","Record creation source user ID","number","number",""
"hs_owning_teams","Owning Teams","enumeration","checkbox",""
"hs_product_name","Product name","string","text",""
"hs_queue_membership_ids","Queue Memberships","enumeration","checkbox",""
"hs_read_only","Read only object","bool","booleancheckbox","True=true; False=false"
"hs_shared_team_ids","Shared teams","enumeration","checkbox",""
"hs_shared_user_ids","Shared users","enumeration","checkbox",""
"hs_timestamp","Activity date","datetime","date",""
"hs_unique_creation_key","Unique creation key","string","text",""
"hs_unique_id","Unique ID","string","text",""
"hs_unknown_visitor_conversation","Unknown Visitor Conversation","bool","booleancheckbox","True=true; False=false"
"hs_updated_by_user_id","Updated by user ID","number","number",""
"hs_user_ids_of_all_notification_followers","User IDs of all notification followers","enumeration","checkbox",""
"hs_user_ids_of_all_notification_unfollowers","User IDs of all notification unfollowers","enumeration","checkbox",""
"hs_user_ids_of_all_owners","User IDs of all owners","enumeration","checkbox",""
"hs_voice_agent_caller_requested_live_agent","Voice Agent Caller Requested Live Agent","bool","booleancheckbox","Yes=true; No=false"
"hs_voice_agent_escalated_to_live_agent","Voice Agent Escalated To Live Agent","bool","booleancheckbox","Yes=true; No=false"
"hs_voice_agent_is_most_recent_customer_feedback_positive","Voice Agent Is Most Recent Customer Feedback Positive","bool","booleancheckbox","Yes=true; No=false"
"hs_voicemail_count","Voicemail count","number","number",""
"hs_was_imported","Performed in an import","bool","booleancheckbox","True=true; False=false"
"hubspot_owner_assigneddate","Owner assigned date","datetime","date",""
"hubspot_owner_id","Activity assigned to","enumeration","select",""
"hubspot_team_id","HubSpot Team","enumeration","select",""
"original_created_date","Original Created Date","date","date",""
"sales_performance_summary","Sales Performance Summary","string","textarea",""
