"name","label","type","fieldType","groupName","createdAt","updatedAt"
"hs_lead_source_company_lifecycle_stage","Initial company lifecycle stage","string","text","lead_information","2023-11-03T15:13:15.911Z","2024-05-20T19:22:19.343Z"
"hs_lead_source_contact_lifecycle_stage","Initial contact lifecycle stage","string","text","lead_information","2023-11-02T15:43:51.376Z","2024-05-20T19:23:06.893Z"
"hs_lead_source_drill_down_1","Lead Source Drill-Down 1","string","text","lead_information","2023-04-25T13:54:14.378Z","2024-03-20T04:00:00.927Z"
"hs_lead_source_drill_down_2","Lead Source Drill-Down 2","string","text","lead_information","2023-04-25T13:57:27.471Z","2024-03-20T04:09:27.687Z"
"hs_lead_source_lifecycle_stage","Initial source lifecycle stage","string","calculation_equation","lead_information","2023-07-13T20:01:30.664Z","2024-05-20T19:23:30.317Z"
"hs_lead_time_to_first_outreach","Time to First Touch","number","number","lead_information","2023-05-05T13:23:12.822Z","2024-02-21T17:01:09.003Z"
"hs_lead_title","Lead Title (DEPRECATED: Use hs_lead_name) ","string","text","lead_information","2023-03-15T14:26:08.304Z","2025-03-19T17:03:14.280Z"
"hs_lead_type","Lead Type","enumeration","select","lead_information","2024-02-07T16:31:41.168Z","2025-03-19T17:03:14.280Z"
"hs_meetings_connected_count","Meetings Connected Count","number","calculation_rollup","lead_information","2023-06-30T16:32:09.491Z","2023-06-30T16:32:09.491Z"
"hs_merged_object_ids","Merged record IDs","enumeration","checkbox","lead_information",,
"hs_next_activity_date","Next Activity Date","datetime","date","lead_information","2023-07-11T20:37:45.088Z","2024-03-20T04:03:55.623Z"
"hs_next_activity_type","Next Activity Type","enumeration","calculation_equation","lead_information","2024-02-26T20:10:53.022Z","2025-03-25T20:01:11.157Z"
"hs_notes_backing_company_last_activity","Primary company last activity","object_coordinates","text","lead_information","2025-03-25T22:35:42.357Z","2025-03-25T22:35:42.357Z"
"hs_notes_backing_company_next_activity","Primary company next activity","object_coordinates","text","lead_information","2025-03-25T22:19:36.494Z","2025-03-25T22:19:36.494Z"
"hs_notes_backing_contact_last_activity","Primary contact last activity","object_coordinates","text","lead_information","2025-03-25T22:28:11.049Z","2025-03-25T22:28:11.049Z"
"hs_notes_backing_contact_next_activity","Primary contact next activity","object_coordinates","text","lead_information","2025-03-25T20:56:16.108Z","2025-03-25T21:49:23.216Z"
"hs_notes_principal_backing_object_last_activity","Last activity","string","calculation_equation","lead_information","2025-03-26T01:32:21.812Z","2025-03-26T02:07:54.067Z"
"hs_notes_principal_backing_object_next_activity","Next activity","string","text","lead_information","2025-03-25T23:08:49.687Z","2025-03-26T02:02:02.549Z"
"hs_num_webpage_views","Lead Number of Pageviews","number","calculation_equation","lead_information","2023-09-28T14:24:38.249Z","2024-03-11T21:46:18.803Z"
"hs_object_id","Record ID","number","number","lead_information",,
"hs_object_source","Record creation source","string","text","lead_information",,
"hs_object_source_detail_1","Record source detail 1","string","text","lead_information",,
"hs_object_source_detail_2","Record source detail 2","string","text","lead_information",,
"hs_object_source_detail_3","Record source detail 3","string","text","lead_information",,
"hs_object_source_id","Record creation source ID","string","text","lead_information",,
"hs_object_source_label","Record source","enumeration","select","lead_information",,
"hs_object_source_user_id","Record creation source user ID","number","number","lead_information",,
"hs_owner_id_calculated","Lead owner calculated","enumeration","calculation_equation","lead_information","2024-03-11T18:44:47.209Z","2025-03-19T17:03:14.280Z"
"hs_owning_teams","Owning Teams","enumeration","checkbox","lead_information",,
"hs_pipeline","Lead Pipeline","enumeration","select","lead_information","2023-03-15T14:25:20.210Z","2025-03-19T17:03:14.280Z"
"hs_pipeline_stage","Prospect Stage","enumeration","select","lead_information","2023-03-15T14:26:01.322Z","2025-03-19T17:03:14.280Z"
"hs_pipeline_stage_category","Pipeline stage category id","string","text","lead_information","2023-03-23T13:33:17.520Z","2025-03-19T17:03:14.280Z"
"hs_pipeline_stage_category_last_updated_at","Pipeline Stage Category Last Updated At","datetime","calculation_equation","lead_information","2023-11-13T16:47:55.642Z","2023-11-13T16:47:55.642Z"
"hs_pipeline_stage_category_v2","Pipeline stage category","enumeration","calculation_equation","lead_information","2024-09-06T19:22:20.823Z","2025-03-19T17:03:14.280Z"
"hs_pipeline_stage_last_updated","Pipeline stage last updated","datetime","calculation_equation","lead_information","2025-01-13T14:36:35.967Z","2025-09-29T15:54:44.069Z"
"hs_primary_associated_object_name","Primary Associated Object Name","string","text","lead_information","2023-05-15T16:29:17.250Z","2023-10-17T14:28:55.759Z"
"hs_primary_company_id","Primary Associated Company Object ID","number","number","lead_information","2023-06-15T19:13:14.111Z","2023-06-15T19:26:37.106Z"
"hs_primary_contact_enrolled_in_sequence","Primary contact enrolled in sequence","bool","booleancheckbox","lead_information","2023-10-16T18:36:12.323Z","2023-10-17T13:48:01.298Z"
"hs_primary_contact_id","Primary Associated Contact Object ID","number","number","lead_information","2023-06-15T19:21:23.678Z","2023-06-15T19:44:36.953Z"
"hs_read_only","Read only object","bool","booleancheckbox","lead_information",,
"hs_shared_team_ids","Shared teams","enumeration","checkbox","lead_information",,
"hs_shared_user_ids","Shared users","enumeration","checkbox","lead_information",,
"hs_source_form_submission","Source form submission","string","text","lead_information","2024-12-19T18:42:55.167Z","2025-03-19T17:03:14.280Z"
"hs_tag_ids","Lead tags","enumeration","checkbox","lead_information","2024-05-06T20:55:35.993Z","2025-03-19T17:03:14.280Z"
"hs_time_in_1109558437","Time in 'Not Applicable (additional Director/Member) (Prospect Qualification)'","number","calculation_read_time","hubspotmetrics","2025-07-09T21:20:16.453Z","2025-07-09T21:20:16.453Z"
"hs_time_in_1134678094","Time in 'Marketing Prospect (Prospect Qualification)'","number","calculation_read_time","hubspotmetrics","2025-08-05T12:18:14.496Z","2025-08-05T12:18:14.496Z"
"hs_time_in_attempting_stage_id_745667965","Time in 'Attempting (Prospect Qualification)'","number","calculation_read_time","lead_information","2025-03-14T19:51:21.672Z","2025-05-20T21:03:25.542Z"
"hs_time_in_connected_stage_id_2058487257","Time in 'Connected (Prospect Qualification)'","number","calculation_read_time","lead_information","2025-03-14T19:51:21.672Z","2025-05-20T21:03:25.542Z"
"hs_time_in_new_stage_id_1318266061","Time in 'New (Prospect Qualification)'","number","calculation_read_time","lead_information","2025-03-14T19:51:21.672Z","2025-05-20T21:03:25.542Z"
"hs_time_in_qualified_stage_id_233247981","Time in 'Qualified (Prospect Qualification)'","number","calculation_read_time","lead_information","2025-03-14T19:51:21.672Z","2025-05-20T21:03:25.542Z"
"hs_time_in_unqualified_stage_id_1675714327","Time in 'Disqualified (Prospect Qualification)'","number","calculation_read_time","lead_information","2025-03-14T19:51:21.672Z","2025-05-20T21:03:25.542Z"
"hs_unique_creation_key","Unique creation key","string","text","lead_information",,
"hs_updated_by_user_id","Updated by user ID","number","number","lead_information",,
"hs_user_ids_of_all_notification_followers","User IDs of all notification followers","enumeration","checkbox","lead_information",,
"hs_user_ids_of_all_notification_unfollowers","User IDs of all notification unfollowers","enumeration","checkbox","lead_information",,
"hs_user_ids_of_all_owners","User IDs of all owners","enumeration","checkbox","lead_information",,
"hs_v2_cumulative_time_in_1109558437","Cumulative time in ""Not Applicable (additional Director/Member) (Prospect Qualification)""","number","number","leadstages","2025-07-09T21:20:16.470Z","2025-07-09T21:20:16.470Z"
"hs_v2_cumulative_time_in_1134678094","Cumulative time in ""Marketing Prospect (Prospect Qualification)""","number","number","leadstages","2025-08-05T12:18:14.519Z","2025-08-05T12:18:14.519Z"
"hs_v2_cumulative_time_in_attempting_stage_id_745667965","Cumulative time in ""Attempting (Prospect Qualification)""","number","number","leadstages","2024-05-15T12:00:00.027Z","2025-05-20T18:22:34.928Z"
"hs_v2_cumulative_time_in_connected_stage_id_2058487257","Cumulative time in ""Connected (Prospect Qualification)""","number","number","leadstages","2024-05-15T12:07:44.367Z","2025-05-20T18:22:34.928Z"
"hs_v2_cumulative_time_in_new_stage_id_1318266061","Cumulative time in ""New (Prospect Qualification)""","number","number","leadstages","2024-05-15T12:07:01.253Z","2025-05-20T18:22:34.928Z"
"hs_v2_cumulative_time_in_qualified_stage_id_233247981","Cumulative time in ""Qualified (Prospect Qualification)""","number","number","leadstages","2024-05-15T12:06:00.229Z","2025-05-20T18:22:34.928Z"
"hs_v2_cumulative_time_in_unqualified_stage_id_1675714327","Cumulative time in ""Disqualified (Prospect Qualification)""","number","number","leadstages","2024-05-15T12:02:37.989Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_entered_1109558437","Date entered ""Not Applicable (additional Director/Member) (Prospect Qualification)""","datetime","date","leadstages","2025-07-09T21:20:16.470Z","2025-07-09T21:20:16.470Z"
"hs_v2_date_entered_1134678094","Date entered ""Marketing Prospect (Prospect Qualification)""","datetime","date","leadstages","2025-08-05T12:18:14.519Z","2025-08-05T12:18:14.519Z"
"hs_v2_date_entered_attempting_stage_id_745667965","Date entered ""Attempting (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:11:03.614Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_entered_connected_stage_id_2058487257","Date entered ""Connected (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:03:12.896Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_entered_new_stage_id_1318266061","Date entered ""New (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:06:11.330Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_entered_qualified_stage_id_233247981","Date entered ""Qualified (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T11:59:14.854Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_entered_unqualified_stage_id_1675714327","Date entered ""Disqualified (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:11:14.883Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_exited_1109558437","Date exited ""Not Applicable (additional Director/Member) (Prospect Qualification)""","datetime","date","leadstages","2025-07-09T21:20:16.470Z","2025-07-09T21:20:16.470Z"
"hs_v2_date_exited_1134678094","Date exited ""Marketing Prospect (Prospect Qualification)""","datetime","date","leadstages","2025-08-05T12:18:14.519Z","2025-08-05T12:18:14.519Z"
"hs_v2_date_exited_attempting_stage_id_745667965","Date exited ""Attempting (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:10:53.529Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_exited_connected_stage_id_2058487257","Date exited ""Connected (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:06:50.006Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_exited_new_stage_id_1318266061","Date exited ""New (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:00:24.363Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_exited_qualified_stage_id_233247981","Date exited ""Qualified (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:11:34.327Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_exited_unqualified_stage_id_1675714327","Date exited ""Disqualified (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:10:42.628Z","2025-05-20T18:22:34.928Z"
"hs_v2_latest_time_in_1109558437","Latest time in ""Not Applicable (additional Director/Member) (Prospect Qualification)""","number","number","leadstages","2025-07-09T21:20:16.470Z","2025-07-09T21:20:16.470Z"
"hs_v2_latest_time_in_1134678094","Latest time in ""Marketing Prospect (Prospect Qualification)""","number","number","leadstages","2025-08-05T12:18:14.519Z","2025-08-05T12:18:14.519Z"
"hs_v2_latest_time_in_attempting_stage_id_745667965","Latest time in ""Attempting (Prospect Qualification)""","number","number","leadstages","2024-05-15T12:06:24.490Z","2025-05-20T18:22:34.928Z"
"hs_v2_latest_time_in_connected_stage_id_2058487257","Latest time in ""Connected (Prospect Qualification)""","number","number","leadstages","2024-05-15T12:06:37.799Z","2025-05-20T18:22:34.928Z"
"hs_v2_latest_time_in_new_stage_id_1318266061","Latest time in ""New (Prospect Qualification)""","number","number","leadstages","2024-05-15T12:10:29.695Z","2025-05-20T18:22:34.928Z"
"hs_v2_latest_time_in_qualified_stage_id_233247981","Latest time in ""Qualified (Prospect Qualification)""","number","number","leadstages","2024-05-15T11:59:44.295Z","2025-05-20T18:22:34.928Z"
"hs_v2_latest_time_in_unqualified_stage_id_1675714327","Latest time in ""Disqualified (Prospect Qualification)""","number","number","leadstages","2024-05-15T12:02:56.014Z","2025-05-20T18:22:34.928Z"
"hs_was_imported","Performed in an import","bool","booleancheckbox","lead_information",,
"hs_workflow_updated_lifecycle_stage_of_company","Workflow updated lifecycle stage of company","bool","booleancheckbox","lead_information","2024-04-01T13:47:54.716Z","2025-03-19T17:03:50.536Z"
"hs_workflow_updated_lifecycle_stage_of_contact","Workflow updated lifecycle stage of contact","bool","booleancheckbox","lead_information","2024-03-29T14:30:14.447Z","2025-03-19T17:03:50.536Z"
"hubspot_owner_assigneddate","Owner assigned date","datetime","date","lead_information",,
"hubspot_owner_id","Lead Owner","enumeration","select","lead_information","1970-01-01T00:00:00Z","2025-03-19T17:03:50.536Z"
"hubspot_team_id","HubSpot Team","enumeration","select","lead_information","1970-01-01T00:00:00Z","2024-05-02T16:51:19.743Z"
"latest_lead_source","Latest Lead Source","string","text","lead_information","2025-05-06T11:00:18.728Z","2025-05-06T11:00:18.728Z"
"lead_are_you_a_company_director_","Are you a Company Director?","enumeration","select","lead_information","2025-05-21T08:22:42.022Z","2025-05-21T08:22:42.022Z"
"original_enquiry_date","Original enquiry Date","date","date","lead_information","2025-06-17T16:28:23.717Z","2025-06-17T16:28:23.717Z"
"original_lead_source","Original Lead Source","string","text","lead_information","2025-05-06T11:01:11.322Z","2025-05-06T11:01:11.322Z"
"product_of_interest","Product of Interest","enumeration","select","contact_sync_properties","2025-06-19T11:32:47.415Z","2025-06-19T11:32:47.415Z"
"retained_business_profits","Retained business profits","number","number","lead_information","2025-04-30T20:25:28.253Z","2025-04-30T20:25:28.253Z"
"sales_lead_source","Sales Lead Source","string","text","lead_information","2025-06-16T11:46:54.708Z","2025-06-16T11:46:54.708Z"
"what_is_the_value_of_your_company_cash_","What is the value of your company cash? - Marketing","enumeration","select","lead_information","2025-04-30T20:27:03.151Z","2025-04-30T20:27:03.151Z"
